,iQOOZ5,xiaomi 14,iQOOz6x,OnePlus 9,OnePlus 6,Samsung S23 Ultra,vivo X50,OPPO A72,HUAWEI Mate30,HUAWEI P40,HUAWEI nova7
iQOOZ5,0.0,0.10832135317065034,0.07787904392365945,0.011406683247123673,0.041966992277299525,0.01845913638374161,0.06686900655267645,0.055834779441764654,0.0622086199713619,0.07961442699116465,0.06813453110293899
xiaomi 14,0.06398928101534233,0.0,0.04327408845812679,0.01921206876059533,0.03433420847484302,0.03149405107272462,0.030675132140788902,0.1191932202229361,0.023109530333183716,0.020275583743102846,0.04898036040309116
iQOOz6x,0.03247940673642505,0.04315846576307416,0.0,0.06959285072716534,0.0265529940293159,0.0169328387696369,0.028838521508217016,0.01410715602489237,0.017350984709421095,0.017678557401191317,0.05376151328291818
OnePlus 9,0.07242433630983605,0.043137073095996334,0.07963962302344539,0.0,0.056246726562644636,0.08153008105196734,0.04426987349625641,0.028177967893989825,0.027771366118354228,0.04583131979948907,0.0459495219269838
OnePlus 6,0.021507210790471583,0.03083583396313732,0.02920909920444916,0.028053511375976385,0.0,0.02299891333437719,0.025631550891974053,0.02787241427687051,0.020881847659932236,0.02477792213623791,0.029975001272683703
Samsung S23 Ultra,0.02494713263612587,0.026431221294488466,0.05261804107553164,0.058633347013177586,0.05185893041041384,0.0,0.022074026578898537,0.02449787596122654,0.014755387609150983,0.041351503746417356,0.022592090129091903
vivo X50,0.02911386990780001,0.041591392329722726,0.029619736117260962,0.034786159883966425,0.02329817385977586,0.018999947609152225,0.0,0.042699325286247654,0.024932651661309292,0.017680207061852065,0.04638849653029552
OPPO A72,0.028802869074179213,0.050977330015051954,0.04840293289513742,0.017292379764095613,0.021481719149232706,0.022636677759099562,0.014509301497046163,0.0,0.014111636588240805,0.015596796920507871,0.0459106914753126
HUAWEI Mate30,0.03561695781056842,0.021615313867563428,0.04565732776430517,0.031223398117728694,0.018703922590606017,0.019749613738351504,0.018833544285604926,0.01739788680313068,0.0,0.01675128884758011,0.019820349064946508
HUAWEI P40,0.03889076994824508,0.012348416538844054,0.04534851409237654,0.03637475655331219,0.017699544292553236,0.013633547421252204,0.026412076489121826,0.031545123758946955,0.01875892997809,0.0,0.01979169383283036
HUAWEI nova7,0.035588295864752616,0.032095200602699034,0.028141602177668198,0.031221074282824463,0.01725248904435979,0.022803314431687136,0.009088599555369774,0.010031731370178558,0.01708335006764391,0.014991823070154831,0.0
